,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35,Cluster_36,Cluster_37,Cluster_38,Cluster_39,Cluster_40,Cluster_41,Cluster_42,Cluster_43,Cluster_44,Cluster_45,Cluster_46,Cluster_47,Cluster_48,Cluster_49,Cluster_50,Cluster_51,Cluster_52,Cluster_53,Cluster_54,Cluster_55,Cluster_56,Cluster_57,Cluster_58,Cluster_59,Cluster_60,Cluster_61,Cluster_62,Cluster_63,Cluster_64,Cluster_65,Cluster_66,Cluster_67,Cluster_68,Cluster_69,Cluster_70,Cluster_71,Cluster_72,Cluster_73,Cluster_74,Cluster_75,Cluster_76,Cluster_77,Cluster_78,Cluster_79,Cluster_80,Cluster_81,Cluster_82,Cluster_83,Cluster_84,Cluster_85,Cluster_86,Cluster_87,Cluster_88,Cluster_89,Cluster_90,Cluster_91,Cluster_92,Cluster_93,Cluster_94,Cluster_95,Cluster_96,Cluster_97,Cluster_98,Cluster_99,Cluster_100
1,0,0,9,7,33,44,37,39,48,10,0,1,4,1,8,14,15,13,7,9,0,1,0,2,4,10,7,4,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A,0,1,1,1,2,0,1,2,0,1,1,0,0,0,0,0,0,1,3,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,3,1,6,1,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2B,2,0,2,1,1,0,0,1,3,1,0,1,0,0,2,1,0,1,0,0,8,1,2,0,0,2,1,1,2,0,3,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,2,0,0,2,0,1,2,0,2,0,0,1,1,3,1,1,1,2,0,0,0,1,0,0,4,0,0,1,1,0,0,0,0,1
2C,3,0,4,1,2,1,1,1,1,2,2,1,0,2,1,0,1,0,1,1,4,1,1,1,0,2,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,5,1,1,0,3,1,0,0,0,1,1,0,1,2,1,1,0,2,1,1,0,1,0,1,0,0,0,1,0,0,0
2D,2,0,10,11,2,2,2,4,4,7,1,1,5,3,4,1,2,2,0,0,9,3,2,0,0,2,1,3,2,1,4,0,0,0,0,0,0,4,1,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,3,1,1,0,0,0,2,0,0,0,3,1,0,2,1,1,4,1,0,1,2,1,1,1,0,0,0,1,0,0,0,0,12,2,1,2,3,0,1,1,0,0
3A,9,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,3,0,1,0,0,0,0,0,1,0,0,1,2,3,0,0,0,0,1,0,0,1,0,1,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0
3B,4,2,1,0,2,2,3,7,2,5,0,2,5,3,2,5,6,11,0,1,1,1,8,6,3,8,15,5,1,15,1,4,7,12,8,7,6,4,1,13,14,3,8,5,2,2,1,2,1,10,1,1,2,2,3,0,0,0,1,7,1,0,3,1,5,4,0,3,0,9,0,1,0,1,3,5,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,1,2,1,1,0
3C,1,1,1,0,0,0,1,2,0,2,0,0,0,0,0,0,4,1,2,2,1,1,3,0,1,1,0,3,1,4,4,0,1,0,1,2,3,3,2,0,1,1,0,1,2,2,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,2,0,0,2,1,0,0,0,5,0,0,0,0,5,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0
3D,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,2,3,2,1,0,1,0,0,0,2,1,3,1,1,5,0,0,0,0,2,0,1,1,2,5,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
4A,5,1,0,1,0,1,1,0,2,3,1,1,0,0,2,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,2,0,0,1,1,1,1,1,0,0,0,1,2,1,4,1,2,1,2,1,0,4,2,5,2,2,0,3,3,1,4,2,4,7,2,1,3,5,0,0,1,1,1,10,7,9,4,1,4,1,1,4,1,3,4,4,7,3,1,4,1,2,6,8,4,1,4
