node_x,node_y,node_flat,medoid_index,time,label_raw,label,majority_label,representative_label,match,distance
7,0,70,3114,1999/07/12,2C+4A,,4A,4A,False,0.07975190877914429
7,1,71,940,1993/07/29,4A+6A,,4B,4B,False,0.19500499963760376
7,2,72,3137,1999/08/04,5,5,3A+4B,3A+4B,False,0.14753782749176025
7,3,73,2704,1998/05/28,3A+4B,,2C,2C,False,0.15175127983093262
7,4,74,1208,1994/04/23,3A+4B,,3A+4B,3A+4B,True,0.11404013633728027
7,5,75,1979,1996/06/02,3B,3B,5,5,False,0.08652478456497192
7,6,76,1645,1995/07/04,4A,4A,4A,4A,True,0.0914924144744873
7,7,77,896,1993/06/15,4A,4A,4A+5,4A+5,False,0.07101696729660034
7,8,78,562,1992/07/16,4A,4A,4A,4A,True,0.0922081470489502
7,9,79,987,1993/09/14,2B+4A,,4A,4A,False,0.12153834104537964
8,0,80,931,1993/07/20,4B,4B,4B,4B,True,0.1802932620048523
8,1,81,3115,1999/07/13,2C,2C,4A,4A,False,0.20065319538116455
8,2,82,2791,1998/08/23,4B+5,,2C,2C,False,0.15632760524749756
8,3,83,3163,1999/08/30,3A+4A,,4A+5,4A+5,False,0.22316467761993408
8,4,84,1332,1994/08/25,3A+5,,4A,4A,False,0.10091400146484375
8,5,85,1992,1996/06/15,3A+4A,,3A+4A,3A+4A,True,0.1383325457572937
8,6,86,2778,1998/08/10,4A,4A,4A,4A,True,0.12288022041320801
8,7,87,188,1991/07/08,2B+4A,,4A,4A,False,0.18772679567337036
8,8,88,1994,1996/06/17,4A,4A,4B,4B,False,0.1051064133644104
8,9,89,1284,1994/07/08,4A+5,,4A,4A,False,0.2072845697402954
9,0,90,510,1992/05/25,2D,2D,2D,2D,True,0.22476178407669067
9,1,91,219,1991/08/08,4B,4B,3A+5,3A+5,False,0.18741685152053833
9,2,92,939,1993/07/28,2B+4A,,3A+4B,3A+4B,False,0.19732356071472168
9,3,93,195,1991/07/15,4A,4A,2D,2D,False,0.1590997576713562
9,4,94,2718,1998/06/11,2D+4B,,2D,2D,False,0.14535397291183472
9,5,95,926,1993/07/15,2D+4B,,4A,4A,False,0.11765098571777344
9,6,96,192,1991/07/12,4A,4A,4A,4A,True,0.19194543361663818
9,7,97,945,1993/08/03,3A+4B,,3B+4B,3B+4B,False,0.21507543325424194
9,8,98,1273,1994/06/27,2A+4A,,4A+5,4A+5,False,0.17650091648101807
9,9,99,2028,1996/07/21,3A+2C,,4A+5,4A+5,False,0.1650024652481079
