iteration,MacroRecall_majority,MacroRecall_composite,QuantizationError,NodewiseMatchRate
10,0.20020197668879283,0.15857063367995394,646.3171775174932,0.31
20,0.19073408314556609,0.15352548122141083,641.3364128574689,0.25
30,0.19137021665786386,0.15311005151747803,639.566105586401,0.23
40,0.20095132726688672,0.1574230794744212,638.0089236480834,0.22
50,0.21443242253871275,0.16023559831125528,636.2818846022209,0.25
60,0.2050217803754247,0.16046875573703342,634.5015306510496,0.22
70,0.2081301021555128,0.1643568643817024,632.7939895801643,0.25
80,0.203352889399381,0.16071338643465688,631.207383014527,0.26
90,0.20681131272023742,0.15823399128580487,629.7763157894736,0.28
100,0.20360559361954514,0.16182340401815284,628.2891694554305,0.28
110,0.20326323764247922,0.159079375390157,626.87336239352,0.31
120,0.20989816304314962,0.16269032751804616,625.4462026068603,0.38
130,0.20744133200967732,0.15928283498764256,624.1710716458776,0.39
140,0.20468254651911635,0.16127812242928824,622.8317650498175,0.38
150,0.20065323405486826,0.16088066535622797,621.5169179723151,0.36
160,0.20239080498517562,0.16098011144393318,620.2872264317767,0.36
170,0.20537772327909723,0.16198913656089442,619.1608371995741,0.36
180,0.20748221490710012,0.16189646615696482,617.7583734218132,0.32
190,0.19916859273352946,0.15836205463538885,616.418465498555,0.36
200,0.1939461892091529,0.15652845673131707,615.0517474140554,0.32
210,0.19796553752416293,0.15626329724230428,613.8312932575296,0.31
220,0.2019946948556663,0.15663041233604533,612.6548025365074,0.29
230,0.2139156089485956,0.1639747991784368,611.1190960602373,0.31
240,0.22506582527276198,0.1727633910955904,609.8299598798296,0.29
250,0.22268973210552395,0.1731028508310274,608.628405936264,0.3
260,0.22233032268338698,0.17316889487837425,607.6169890382567,0.34
270,0.22498028665342243,0.17276825358770778,606.307408921509,0.33
280,0.22534369086343808,0.1739778762328392,605.2335763994524,0.33
290,0.2271961370947812,0.17281209602130218,604.1510044303316,0.34
300,0.22236232457901142,0.17371005041254772,602.9089298277305,0.38
310,0.2214684412533753,0.1718873637408044,601.7778321797992,0.37
320,0.22268580813375147,0.1725166424314122,600.6950558069668,0.37
330,0.22023577004030098,0.17129348726584864,599.6208643900213,0.34
340,0.2275746814581005,0.17325695626499654,598.6139752719045,0.35
350,0.22580203357951564,0.17303377278067178,597.513504905689,0.33
360,0.22889721819263856,0.17443309698429768,596.4921542249772,0.35
370,0.23151004709695452,0.17621013826037835,595.4989173733647,0.32
380,0.2331449146070375,0.17672986635685115,594.5524390591725,0.28
390,0.23125602785106636,0.17551577235170635,593.5270549703376,0.31
400,0.23955808235725712,0.18301427526645453,592.416631807119,0.27
410,0.2348312736489283,0.1788481629822178,591.4764424722391,0.28
420,0.2296385713897477,0.1765010217926555,590.2433093436264,0.32
430,0.23230881608854997,0.17667946381812602,588.9335438374658,0.37
440,0.23429719987675307,0.17889335918084218,587.9481741519622,0.39
450,0.23486276641040232,0.17921754189333758,586.9741417420901,0.35
460,0.2359715650662789,0.1820084927495563,586.1846668694859,0.35
470,0.23678228611963018,0.18190823129263717,585.3873260191664,0.37
480,0.23821811903191126,0.1818583681774992,584.5821227563127,0.36
490,0.24136532036419436,0.18284114128856568,583.7654705088227,0.33
500,0.24192140914566843,0.18273903771074446,582.9599154814421,0.37
510,0.24280441135317393,0.1838356832655181,582.2677082541071,0.37
520,0.24173335965557446,0.1834350030392275,581.4651610511104,0.37
530,0.24447776214476252,0.1842252615252177,580.6685605700487,0.34
540,0.25040441725568635,0.18554659637848137,579.9199771353058,0.35
550,0.2442207854010663,0.18167513796338142,579.0849226118041,0.33
560,0.25145276078029005,0.18397622107231443,578.1338701703681,0.33
570,0.2587853732120954,0.186486802958137,577.141896581229,0.36
580,0.2594944430182693,0.18823454921167507,576.348457227335,0.34
590,0.25801788161980915,0.18808968606431625,575.6889213188317,0.34
600,0.2586911173389802,0.1878004538769115,574.9794693109218,0.33
610,0.2569621656783681,0.18945866209900508,574.0852589272133,0.35
620,0.25421992609176286,0.18855039293806558,573.3354692728932,0.34
630,0.25398074366079965,0.18902704138606147,572.7155199459994,0.33
640,0.2576321691167751,0.19281131579196567,571.9083094862336,0.36
650,0.25252796911402065,0.19002946804710918,571.2981798562519,0.36
