node_x,node_y,node_flat,medoid_index,time,label_raw,label,majority_label,representative_label,match,distance
8,2,82,2115,1996/10/16,1,1,1,1,True,329.79254150390625
8,3,83,316,1991/11/13,1+3B,,1,1,False,339.0647888183594
8,4,84,2871,1998/11/11,2A+2C,,1,1,False,288.4913330078125
8,5,85,811,1993/03/22,3B,3B,2D,2D,False,315.4683532714844
8,6,86,1223,1994/05/08,2A+4B,,2A+3D,2A+3D,False,411.4265441894531
8,7,87,2742,1998/07/05,4A+5,,5,5,False,343.0733947753906
8,8,88,1690,1995/08/18,4A+5,,3B+4B,3B+4B,False,327.4576416015625
8,9,89,160,1991/06/10,4A,4A,4A,4A,True,301.36236572265625
9,0,90,723,1992/12/24,1,1,1,1,True,445.09808349609375
9,1,91,1475,1995/01/15,1,1,1,1,True,370.96466064453125
9,2,92,770,1993/02/09,2D,2D,1,1,False,401.40570068359375
9,3,93,1768,1995/11/04,1+3C,,1,1,False,384.9992370605469
9,4,94,787,1993/02/26,3B,3B,3B,3B,True,351.02099609375
9,5,95,1853,1996/01/28,3C,3C,3B,3B,False,365.7907409667969
9,6,96,812,1993/03/23,3B,3B,3B,3B,True,345.9429016113281
9,7,97,176,1991/06/26,4A,4A,3B,3B,False,351.1360168457031
9,8,98,1604,1995/05/24,3D,3D,3B,3B,False,332.8634033203125
9,9,99,3027,1999/04/16,3B+4B,,3B,3B,False,318.8289489746094
